goos: linux
goarch: amd64
pkg: github.com/FnuGk/ipcbench
BenchmarkNestedProtoMarshal1-8         	10000000	       784 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       782 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       778 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       780 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       780 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       776 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       776 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       775 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       773 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       781 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       779 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       778 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       781 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       778 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       778 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       779 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       779 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       776 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       784 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       781 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       778 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       777 ns/op	     208 B/op	       1 allocs/op
BenchmarkNestedProtoMarshal1-8         	10000000	       773 ns/op	     208 B/op	       1 allocs/op
