Test,Iterations,ns/op,B/op,allocs/op
BenchmarkNestedProtoMarshal1-8         ,10000000,       784 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       782 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       778 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       780 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       780 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       776 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       776 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       775 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       773 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       781 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       779 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       778 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       781 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       778 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       778 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       779 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       777 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       779 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       776 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       784 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       781 ,     208 ,       1 
BenchmarkNestedProtoMarshal1-8         ,10000000,       778 ,     208 ,       1 
